ExchangeSegment,ExchangeInstrumentID,Name,Description,InstrumentID,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,OptionType,TickerName,ticker
NSEFO,40855,EICHERMOT,EICHERMOT25JANFUT,2503000040855,5251,0.05,175,1,EICHERMOT,2025-01-30 14:30:00,1,1,
NSEFO,41017,ICICIBANK,ICICIBANK25JANFUT,2503000041017,21001,0.05,700,1,ICICIBANK,2025-01-30 14:30:00,1,1,
NSEFO,35596,ADANIENT,ADANIENT24NOVFUT,2433300035596,9001,0.05,300,1,ADANIENT,2024-11-28 14:30:00,1,1,
NSEFO,40971,GRASIM,GRASIM25JANFUT,2503000040971,10001,0.05,250,1,GRASIM,2025-01-30 14:30:00,1,1,
NSEFO,38832,MARUTI,MARUTI24NOVFUT,2433300038832,2001,0.05,50,1,MARUTI,2024-11-28 14:30:00,1,1,
NSEFO,41088,IOC,IOC25JANFUT,2503000041088,146251,0.01,4875,1,IOC,2025-01-30 14:30:00,1,1,
NSEFO,40989,HCLTECH,HCLTECH25JANFUT,2503000040989,14001,0.05,350,1,HCLTECH,2025-01-30 14:30:00,1,1,
NSEFO,38875,ONGC,ONGC24NOVFUT,2433300038875,77001,0.05,1925,1,ONGC,2024-11-28 14:30:00,1,1,
NSEFO,38789,ITC,ITC24NOVFUT,2433300038789,48001,0.05,1600,1,ITC,2024-11-28 14:30:00,1,1,
NSEFO,41087,INFY,INFY25JANFUT,2503000041087,12001,0.05,400,1,INFY,2025-01-30 14:30:00,1,1,
NSEFO,36667,BPCL,BPCL24NOVFUT,2433300036667,72001,0.05,1800,1,BPCL,2024-11-28 14:30:00,1,1,
NSEFO,42685,WIPRO,WIPRO25JANFUT,2503000042685,45001,0.05,1500,1,WIPRO,2025-01-30 14:30:00,1,1,
NSEFO,38970,TECHM,TECHM24NOVFUT,2433300038970,18001,0.05,600,1,TECHM,2024-11-28 14:30:00,1,1,
NSEFO,41169,M&M,M&M25JANFUT,2503000041169,7001,0.05,175,1,M&M,2025-01-30 14:30:00,1,1,
